city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
praia da vitoria,38.739237599999996,-27.156264396780458,Clouds,65.12,94,1010,29.39
sinop,42.0265798,35.1511512,Clouds,53.26,65,1024,4.81
porangatu,-13.444663,-49.1423569,Clouds,72.99,83,1013,3.06
rio gallegos,-51.64607595,-69.26322885452636,Clear,48.27,61,1010,12.66
ust-nera,64.566376,143.237839,Clouds,-19.26,96,1022,4.99
parsabad,39.6461735,47.918551,Clouds,46.72,81,1024,6.91
surab,28.4945421,66.264015,Clear,51.71,65,1022,5.1
khovu-aksy,51.131943,93.715744,Clouds,19.56,93,1036,0.65
vaitupu,-7.4769458,178.6807836433052,Clouds,83.19,67,1008,17.27
jalesar,27.4726962,78.3022442,Clouds,70.41,68,1018,0.69
vila velha,-20.3297037,-40.2920174,Clear,69.94,93,1017,4.61
leshukonskoye,64.902481,45.767242,Snow,32.54,99,1008,4.92
te anau,-45.41449,167.717489,Clear,63.79,37,1024,2.75
akodia,23.3803855,76.598241,Clear,68.68,51,1018,4.43
nanortalik,60.1400246,-45.2428523,Clouds,31.53,81,992,9.04
yellowknife,62.4540807,-114.377385,Snow,8.78,85,1019,14.97
nola,40.9210826,14.5327402,Clouds,55.98,92,1020,0.56
zhezkazgan,47.7964459,67.70618078166055,Clouds,23.04,93,1032,4.47
umzimvubu,-30.82491,28.92177617804983,Clouds,52.32,93,1019,5.03
banda aceh,5.5528455,95.3192908,Clouds,81.52,76,1012,6.26
mazarron,37.5986534,-1.3138511,Clouds,60.51,64,1020,8.72
la paz,-16.4955455,-68.1336229,Clouds,49.1,76,1035,11.5
sataua,-13.5175919,-172.6929859,Rain,81.72,80,1011,14.74
bereda,11.2135,8.392556,Clear,69.58,30,1011,2.39
salvador,-12.9822499,-38.4812772,Clouds,78.53,83,1016,11.5
djougou,9.7106683,1.6651614,Clear,74.03,42,1010,3.09
banepa,27.64735905,85.51750837501186,Mist,53.35,88,1023,2.3
constitucion,-35.3318306,-72.4118998,Clouds,54.82,94,1019,12.82
wanning,18.7961376,110.3872565,Clouds,77.16,86,1018,7.61
