city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
castanos,26.79433,-101.428704,Clouds,82.35,50,1018,14.97
tarnos,43.5405622,-1.4611915,Clear,65.62,59,1012,8.05
nha trang,12.2431693,109.1898675,Clouds,75.22,87,1012,6.29
kargopol,61.509121,38.940796,Clouds,36.52,98,1004,6.06
lasa,50.4291723,2.8319805,Clouds,57.47,67,1005,17.02
korla,41.7238743,86.173541,Clouds,46.56,45,1013,11.5
rio gallegos,-51.64607595,-69.26322885452636,Clouds,60.87,33,1003,17.27
winnemucca,40.972415,-117.7347619,Clouds,39.16,65,999,16.11
burnie,-41.0523688,145.9064073,Clouds,63.1,68,1020,7.11
abu samrah,24.20057405,55.39905220606245,Clear,81.5,38,1013,8.39
portlethen,57.061466,-2.129707,Clouds,47.05,90,988,8.05
bada,51.391209,109.86763,Clouds,17.78,93,1026,2.64
vychegodskiy,61.248669,46.883759,Clouds,34.23,98,1008,4.85
leshukonskoye,64.902481,45.767242,Clouds,32.68,99,1005,0.47
riyadh,24.638916,46.7160104,Clear,73.78,21,1012,5.59
hounde,11.4921785,-3.5205952,Clouds,77.7,19,1013,4.61
nanakuli,21.389147,-158.152313,Clouds,82.24,54,1021,14.97
maceio,-9.6476843,-35.7339264,Clouds,76.01,94,1015,4.61
rio branco,-9.9765362,-67.8220778,Clear,90.14,55,1009,1.14
okato,-39.1909983,173.8799817,Clouds,69.1,100,1015,2.91
preobrazheniye,42.901529,133.8988366,Clouds,45.09,88,1022,9.06
tutoia,-2.761413,-42.275531,Clouds,79.02,80,1012,11.23
glossop,53.4433552,-1.9499173,Clouds,48.31,86,994,16.87
provideniya,64.4237364,-173.2273726,Snow,28.99,86,991,18.01
jaque,-9.7004572,-77.816604,Clouds,50.38,65,1018,6.89
narsaq,60.9127453,-46.0452698,Clouds,25.05,71,991,8.21
rio grande,-53.7856766,-67.7016369,Dust,55.44,38,999,24.16
parati,-23.2196461,-44.7154196,Rain,65.41,97,1018,1.83
touros,-5.1998625,-35.4595051,Clouds,78.57,79,1014,10.4
vitim,59.439697,112.572884,Snow,19.98,93,1018,10.09
mabaruma,8.2037266,-59.784924,Clouds,76.1,92,1010,3.6
dakar,14.693425,-17.447938,Clouds,79.68,70,1014,14.58
necochea,-38.5545494,-58.7392624,Clouds,77.5,26,1015,12.68
ust-nera,64.566376,143.237839,Clouds,-24.43,99,1019,3.6
halalo,-13.3447142,-176.2136238,Rain,81.34,79,1011,18.72
taoudenni,22.6762333,-3.9805269,Clouds,77.63,15,1017,9.13
besenyotelek,47.698367,20.4278946,Clouds,43.79,87,1022,3.31
ajdabiya,30.7550035,20.2233257,Clouds,67.08,68,1020,9.01
new lenox,41.5119761,-87.9656098,Clear,54.66,59,1032,8.05
huarmey,-10.0687481,-78.152199,Clouds,67.39,77,1014,9.64
lethem,3.3749987,-59.7958674,Rain,79.81,79,1010,2.3
muisne,0.6104236,-80.0185958,Clouds,74.88,78,1012,9.66
portland,45.5202471,-122.674194,Clouds,49.1,68,1007,17.27
